	KPSS	signal	gross	net	market
150	0.10688086156451977	0.0	0.0	0.0	0.003704089049704651
151	0.1029467690941614	-1.0	-0.0037327170588789217	-0.0037638707460486208	-0.001185699214361291
152	0.09779082785322822	-1.0	0.0013951666603969183	0.0013688936744812579	0.0007024972279667807
153	0.2015042643186812	-1.0	-0.003398474144114933	-0.0034402129572870433	0.0027300951851503275
154	0.2543587385856193	-1.0	-0.0006599787837523422	-0.0006896205841730853	0.0025606760900243053
155	0.26686583634205485	-1.0	-0.0022114996576655544	-0.0022154642682177725	-0.0019624672514313435
156	0.2082772031142603	-1.0	-0.0014503167823056058	-0.001456087240954441	0.0015646460846321375
157	0.11391788401884961	0.0	0.0	-9.56110331400923e-05	0.0007115345908383919
158	0.08482708247594134	0.0	0.0	0.0	0.0008370427393644686
159	0.10383490163095473	0.0	0.0	0.0	0.007695488006902673
160	0.16571864205384063	0.0	0.0	0.0	0.0005031528617669423
161	0.26451714077032845	0.0	0.0	0.0	-0.0005925944462060739
162	0.20331768625294597	0.0	0.0	0.0	-0.003756184245747196
163	0.16982475005746828	0.0	-0.0	-0.0	-0.0015827522106851566
164	0.2390588682658923	0.0	-0.0	-0.0	0.0021749356911917594
165	0.2588528972489047	0.0	0.0	0.0	0.007507291353015866
166	0.2877044678923313	0.0	-0.0	-0.0	0.0021955703874654287
167	0.3268805964972696	0.0	-0.0	-0.0	0.004174424362754614
168	0.36308560939563295	0.0	0.0	0.0	-0.004011219709926239
169	0.3799371653889174	0.0	-0.0	-0.0	-0.008631020716408422
170	0.35143920102845455	-1.0	-0.00032045440436305293	-0.00034495054849619037	-0.00663809511563529
171	0.3065455256897418	-1.0	0.0019501274784696535	0.0019435158235906176	0.00632356747139462
172	0.22021325144464732	-1.0	-0.000532072972258248	-0.0005655874249080904	0.0015002511791302187
173	0.17159618616587713	-1.0	0.000890695383529903	0.0008713276767217585	0.009135724328457329
174	0.1530100775450585	-1.0	-0.002604879200588991	-0.0026063734179377325	-0.00316282139344648
175	0.17365717353146434	-1.0	-0.0016531762738363539	-0.0016710218357795352	-0.0010969340964486207
176	0.22253813273488438	-1.0	0.00010736399784080247	9.550738105319092e-05	0.002908158040315856
177	0.2576984342249569	-1.0	0.0017867509490389864	0.0017838415347896518	0.008575225775086182
178	0.29242667136858946	-1.0	0.0014431237662822164	0.001439454206006469	7.258178414493166e-05
179	0.30450119108170165	-1.0	0.0017303957952722068	0.001721265477933043	0.007147785279833618
180	0.3094916745065055	0.0	-0.0	-7.624969787975047e-05	0.00033529222633799094
181	0.24768462652354978	0.0	0.0	0.0	-0.00043230017186479675
182	0.1470512748698607	0.0	0.0	0.0	0.004459292004863613
183	0.13496330128729542	0.0	0.0	0.0	0.004944781081796634
184	0.13110245990972916	0.0	0.0	0.0	0.0008661436002121992
185	0.16396720260679548	0.0	0.0	0.0	-0.00019544819997963092
186	0.2248132778745688	0.0	-0.0	-0.0	0.005128166675301138
187	0.2867164395687385	0.0	0.0	0.0	3.398471712534601e-05
188	0.32202093619932937	0.0	0.0	0.0	-0.005780822450430323
189	0.3248308211157435	0.0	-0.0	-0.0	0.0029460216619106028
190	0.2976906569084003	0.0	0.0	0.0	0.008378802677341701
191	0.23833196478559937	1.0	0.0024398518865879903	0.002311892881129833	-0.007059870562045378
192	0.1471647739720351	1.0	0.002430657570782818	0.0024081135371168743	0.0035333728907271933
193	0.08669085950673754	-1.0	0.00643363076095862	0.006246185289488584	-0.0028032386528962228
194	0.09635782072739958	-1.0	-0.002221113699696604	-0.002223456560583765	0.004902451368978156
195	0.16466849925759686	-1.0	0.005897251106211468	0.00588515673795031	0.006655262605488987
196	0.24334366319242404	-1.0	0.002474062924392244	0.002462219071535701	-0.002855178689662563
197	0.2438686511709879	0.0	0.0	-9.612313390848234e-05	0.006976215252569862
198	0.20385039928217985	1.0	0.0022549414271042173	0.0021583274821720035	-0.001514532772802224
199	0.12644829482763106	1.0	0.005906896829986004	0.0058735031186511015	0.0018701968845122874
200	0.1256761921854753	1.0	0.0011522355572664252	0.00114778772489304	0.00836655302646827
201	0.16259985086438003	1.0	0.008978877416598481	0.008951826321999852	0.003862162248501333
202	0.22432946005458274	1.0	0.0007395128831667037	0.0007219786781450732	-0.0026519776473655776
203	0.29274612364158326	-1.0	-0.0024144404227584727	-0.0026950167783704538	0.0002890760711180551
204	0.34368666388959124	-1.0	0.0011336035660982032	0.001119697536227309	0.0011409766124783616
205	0.3550502540491487	-1.0	0.001450145298151463	0.0014327154788132375	-0.009042160974207403
206	0.346079487529109	-1.0	0.0012135842302736471	0.0012114439758861776	-0.015730711659182384
207	0.33015546343323204	-1.0	-0.005516213120927737	-0.005522511684278197	0.010053584595046017
208	0.2913595889964451	-1.0	0.0022496243779279936	0.0022427083668220683	-0.0008668741908683941
209	0.2775098304493648	-1.0	0.011634486326335486	0.011612313331485711	0.003134358792605374
210	0.2638243950958378	0.0	0.0	-7.749975291643936e-05	-0.01770582037552626
211	0.17383513423944444	0.0	0.0	0.0	0.007254613892351713
212	0.15468995709819824	0.0	0.0	0.0	0.014980414164082134
213	0.17462106389267326	0.0	0.0	0.0	0.01125059589785371
214	0.2115385879465868	0.0	0.0	0.0	0.003325672876785646
215	0.2505704387736154	0.0	0.0	0.0	-0.005400853672730133
216	0.29213733583810353	0.0	0.0	0.0	0.007326397804890528
217	0.34257447549491193	0.0	0.0	0.0	0.0016884725532351208
218	0.31820129424520266	0.0	0.0	0.0	0.006462646466197652
219	0.25134696850503946	0.0	0.0	0.0	-0.0016304457368023773
220	0.1850797412938988	0.0	0.0	0.0	0.0018435333204338544
221	0.16263324630320825	0.0	0.0	0.0	-0.002919942636890105
222	0.19134028137605757	0.0	-0.0	-0.0	0.004705785881164548
223	0.2590317564129643	0.0	0.0	0.0	-0.00381551976362815
224	0.24443268681621053	0.0	0.0	0.0	-0.01051810302712286
225	0.21795948378999933	0.0	0.0	0.0	-0.03351362667122315
226	0.17806934582996417	0.0	0.0	0.0	-0.030279995565056117
227	0.17060032422848234	0.0	0.0	0.0	-0.0037785406053220116
228	0.21958550516241354	0.0	0.0	0.0	-0.04416324258407911
229	0.21583233914916675	0.0	0.0	0.0	-0.008238340444361891
230	0.08989103593032831	0.0	0.0	0.0	0.046039229006110016
231	0.17353138435396465	0.0	-0.0	-0.0	-0.028107896121075893
